x,valence_bbox,valence_com,old_digitization_at_x,px,py
1.0,2.6776136639055634,2.6675290062449517,2.6038277980485867,85.5,257.0
0.9496503496503496,2.761195306596714,2.751245111038244,2.6952623304300003,103.5,243.0
0.8993006993006991,2.8447769492878647,2.834308798344159,2.780575123218116,121.5,229.0
0.8517482517482515,2.919403415976392,2.9113011138787805,2.851817405997782,138.5,216.5
0.8013986013986012,3.0029850586675426,2.9943917079579547,2.946084555556283,156.5,202.5
0.7510489510489509,3.0865667013586937,3.0776115253560703,3.025978356130673,174.5,188.5
0.7034965034965032,3.1641782267147622,3.155223050712139,3.1069359519296205,191.5,175.5
0.6531468531468528,3.2417897520708308,3.233746677327734,3.192555633053863,209.5,162.5
0.6027972027972024,3.3014909254216525,3.293388623324041,3.2529972380347654,227.5,152.5
0.5538461538461534,3.379102450777721,3.3704228186521017,3.332640162489825,245.0,139.5
0.5048951048951045,3.4447737414636252,3.4367987339787023,3.4008957659615753,262.5,128.5
0.45454545454545403,3.510445032149529,3.5018462810624333,3.4653754891768007,280.5,117.5
0.40559440559440507,3.558205970830187,3.548983476140918,3.5198868320246377,298.0,109.5
0.3566433566433561,3.6179071441810087,3.609313793471421,3.5846440563964483,315.5,99.5
0.30769230769230715,3.677608317531831,3.668752643484792,3.643490798879554,333.0,89.5
